,diarynum,entry_year,entry_id,0,1,2
4281,509.0,1967.0,193420,-0.11137145,0.097407624,0.008071276
4282,509.0,1967.0,193422,-0.20364188,0.13078375,-0.055423234
4283,509.0,1967.0,193425,-0.24542047,0.14557499,-0.04758772
4284,509.0,1967.0,193425,-0.19507983,0.106524736,0.020872021
4285,509.0,1967.0,193437,-0.51893795,0.42991906,-0.23063527
4286,509.0,1967.0,193437,-0.21518517,0.085834414,0.027258491
4287,509.0,1967.0,193437,-0.42647052,0.3495138,-0.16788441
4288,509.0,1967.0,193440,-0.18800583,0.12968004,-0.07450852
4289,509.0,1967.0,193443,-0.19339289,0.12463879,-0.0018017194
4290,509.0,1967.0,193443,-0.24602042,0.14683148,-0.006891097
4291,509.0,1967.0,193443,-0.17677644,0.095348805,0.046902064
4292,509.0,1967.0,193443,-0.20446545,0.13891274,0.015003318
4293,509.0,1967.0,193443,-0.1573574,0.108485386,-0.047202043
4294,509.0,1967.0,193443,-0.19923611,0.078802235,0.04691824
4295,509.0,1967.0,193451,-0.18163358,0.13277134,-0.0761923
4296,509.0,1967.0,193451,-0.28931287,0.15590923,-0.063780196
4297,509.0,1967.0,193458,-0.17539844,0.10632322,-0.17489311
4298,509.0,1967.0,193458,-0.213414,0.13831139,0.010069707
4299,509.0,1967.0,193458,-0.18685327,0.13990802,-0.053161766
4300,509.0,1967.0,193460,-0.5791485,0.5479527,-0.31818396
4301,509.0,1968.0,193468,-0.26170638,0.13618596,0.17395169
4302,509.0,1968.0,193468,-0.15540399,0.14899454,0.0048773866
4303,509.0,1968.0,193468,-0.20996222,0.10671709,0.038813036
4304,509.0,1968.0,193468,-0.20301022,0.1325124,0.001010492
4305,509.0,1968.0,193468,-0.56756437,0.5233907,-0.30914825
4306,509.0,1968.0,193475,-0.1997634,0.121832535,0.010197917
4307,509.0,1968.0,193475,-0.18666708,0.12467171,0.0026579883
4308,509.0,1968.0,193475,-0.19298904,0.14831884,-0.037539307
4309,509.0,1968.0,193475,-0.17121163,0.109816074,-0.005719621
4310,509.0,1968.0,193483,-0.5789532,0.5882469,-0.45109168
4311,509.0,1968.0,193483,-0.3509087,0.14534228,-0.051780183
4312,509.0,1968.0,193483,-0.21045624,0.13077694,-0.07515609
4313,509.0,1968.0,193483,-0.24632469,0.15091172,0.07102116
