,diarynum,entry_year,entry_id,0,1,2
237,19.0,1942.0,227447,0.042099893,0.29820707,-0.36473027
238,19.0,1942.0,227461,0.04465298,0.14113458,-0.12918186
239,19.0,1942.0,227464,0.02672234,0.31917784,-0.3600509
240,19.0,1942.0,227464,0.31164968,0.18292655,-0.02949127
241,19.0,1943.0,227500,0.16433515,0.10116689,0.029222848
242,19.0,1944.0,227541,0.15036592,0.5287384,-0.46220252
243,22.0,1941.0,8107,0.6545574,0.15256874,0.05849096
244,22.0,1941.0,8140,0.35692668,0.30425343,-0.19822554
245,22.0,1941.0,8149,0.028826399,0.34658945,-0.51128656
246,22.0,1942.0,8159,0.14267221,0.39041516,-0.1633749
247,22.0,1942.0,8159,0.15298672,0.24748512,-0.27617443
248,22.0,1942.0,8182,0.04045216,0.06153699,-0.22470774
249,22.0,1942.0,8182,0.3738622,0.28783584,-0.23201674
250,22.0,1942.0,8199,0.4145836,0.7269678,-0.63220245
251,22.0,1942.0,8220,0.2429639,0.17170967,-0.03597134
252,22.0,1942.0,8220,0.31588235,0.12551884,-0.0037650284
253,22.0,1942.0,8220,0.12520011,0.2258509,-0.21721998
254,22.0,1942.0,8221,0.12443933,0.08903717,-0.331805
255,22.0,1942.0,8225,0.4588006,0.2941532,-0.20568429
256,22.0,1942.0,8226,0.1514665,0.6056175,-0.6807549
257,22.0,1942.0,8229,0.03058705,0.13824749,-0.1451031
258,22.0,1942.0,8233,0.102143064,0.27552336,-0.19163997
259,22.0,1942.0,8233,0.009899456,0.37330642,-0.37709013
260,22.0,1942.0,8233,0.12151811,0.23052016,-0.22539043
261,22.0,1942.0,8236,0.052360564,0.4461464,-0.8303551
262,22.0,1942.0,8241,0.15521845,0.25896958,-0.24955721
263,22.0,1942.0,8261,0.10867242,0.2989136,-0.19948997
264,22.0,1942.0,8264,0.14197597,0.20844714,-0.36975554
265,22.0,1942.0,8265,0.1244231,0.24753974,-0.31513873
266,22.0,1942.0,8268,0.30628422,-0.0276248,-0.104123406
267,22.0,1942.0,8302,0.09401832,0.40140906,-0.18729703
268,22.0,1942.0,8323,0.19146064,0.1132439,0.047745597
269,22.0,1942.0,8326,0.08848955,0.20098379,-0.39547426
270,22.0,1942.0,8404,0.42944124,0.045230404,-0.110214666
271,22.0,1942.0,8404,0.21580718,0.12923855,0.029645868
272,22.0,1942.0,8414,0.04213041,0.18259816,-0.17651314
273,22.0,1942.0,8416,-0.01760466,0.403437,-0.51310515
274,22.0,1942.0,8427,0.26383325,0.26832685,0.065835886
