,diarynum,entry_year,entry_id,0,1,2,entry_type
40,8.0,1944.0,1577,-0.15295827,0.03801103,0.0946265,1
41,8.0,1944.0,1582,-0.14243372,0.1311183,-0.09149641,6
42,8.0,1944.0,1583,-0.17681481,0.15360373,-0.052311674,10
43,8.0,1944.0,1584,-0.13107835,0.08464717,-0.036249212999999995,6
44,8.0,1944.0,1584,-0.15291002,0.12187052,-0.051408924,11
45,8.0,1944.0,1584,-0.15216571,0.11427617,-0.039804336,11
46,8.0,1944.0,1584,-0.15571082,0.12841827,-0.05647874,11
47,8.0,1944.0,1594,-0.08360252,0.22070170000000003,-0.36763313,7
48,8.0,1944.0,1594,-0.18737942,0.15493205,-0.030197255,10
49,8.0,1944.0,1610,-0.17727803,0.13706252,-0.02201757,10
50,8.0,1945.0,1613,-0.11408423,0.031568076,0.017290715,6
51,8.0,1945.0,1613,-0.0029657134,0.23131937,-0.52727973,9
52,8.0,1945.0,1614,-0.1288663,0.09310078,-0.056010272,6
53,8.0,1945.0,1614,-0.12147786,0.058736537000000005,-0.013039937,6
54,8.0,1945.0,1614,-0.16710006,0.14558169,-0.060528744,11
55,8.0,1945.0,1616,-0.10908775,0.22498648,-0.32371333,7
56,8.0,1945.0,1616,-0.2031676,0.11260997,0.08107597,2
57,8.0,1945.0,1616,-0.16356443,0.05165276,0.095347784,1
58,8.0,1945.0,1616,-0.13576649,0.22475146,-0.26790518,7
59,8.0,1945.0,1616,-0.11620613,0.083490044,-0.06801879,6
60,8.0,1945.0,1616,-0.15552843,0.038775153,0.09916361,1
61,8.0,1945.0,1628,-0.11411786,0.06952506,-0.048504952000000004,6
62,8.0,1945.0,1628,-0.15778278,0.034302417,0.11195941,1
63,8.0,1946.0,1670,-0.17508948,0.1573531,-0.06292386,10
64,8.0,1946.0,1684,-0.14812260000000002,0.03400873,0.09050455,1
65,8.0,1947.0,1692,-0.09538495,0.046006806,-0.0501184,6
66,8.0,1947.0,1694,-0.13962719,0.015423415,0.103134096,1
67,8.0,1947.0,1698,-0.18554793,0.14891757,-0.0237957,10
68,8.0,1947.0,1698,-0.18260539,0.16129617,-0.05254993,10
69,8.0,1947.0,1701,-0.13313049,0.0047395914,0.10675018,1
70,8.0,1947.0,1745,-0.23963223,0.23951243,-0.05981652,4
71,8.0,1947.0,1758,-0.18240006,0.14964294,-0.03238174,10
72,8.0,1948.0,1808,-0.12878665,0.05408149,0.011700898999999999,6
73,8.0,1948.0,1817,-0.12107269999999999,0.04291598,0.013506335,6
74,8.0,1948.0,1823,-0.12214856,0.04388382,0.014276353,6
75,8.0,1949.0,1860,-0.1720624,0.15569694,-0.06696723,11
76,8.0,1949.0,1862,-0.13499291,0.19897255,-0.22567427,7
77,8.0,1950.0,1900,-0.12009897,0.060198225,-0.018717576,6
78,8.0,1950.0,1906,-0.199476,0.15407097,-0.0004908442,2
79,8.0,1950.0,1908,-0.22778672,0.1279059,0.11181859,2
80,8.0,1950.0,1911,-0.17122217,0.14231564,-0.045277595999999996,11
81,8.0,1950.0,1917,-0.25248942,0.24940874,-0.04738288400000001,4
82,8.0,1950.0,1920,-0.115991704,0.06287582,-0.032705735,6
83,8.0,1950.0,1920,0.0053651324,0.25107655,-0.56584364,9
84,8.0,1950.0,1926,-0.17532112,0.14228961,-0.03576866,10
85,8.0,1950.0,1926,-0.22760947,0.11030262,0.14183189,2
